user,comment,time,votes,Case Folding,stopword removal,Lemmatization,tokens,stemming
@perdanaanggarapitopang7609,Seharian pun org ini berdua ngobrol. Saya tontonin,1 day ago,12,seharian pun org ini berdua ngobrol saya tontonin,seharian org berdua ngobrol tontonin,hari org dua ngobrol tontonin,"['hari', 'org', 'dua', 'ngobrol', 'tontonin']",hari org ngobrol tontonin
@bangparis2687,"Ini dia, mendengarkan-bertanya-bertukar pikiran, dan point terakhir eksekusi. Inilah yg kita inginkan dari pemerintah. Dan seharusnya seperti itu.",25 minutes ago,0,ini dia mendengarkanbertanyabertukar pikiran dan point terakhir eksekusi inilah yg kita inginkan dari pemerintah dan seharusnya seperti itu,dia mendengarkanbertanyabertukar pikiran point terakhir eksekusi inilah yg inginkan pemerintah seharusnya itu,dia mendengarkanbertanyabertukar pikir point akhir eksekusi ini yg ingin perintah harus itu,"['dia', 'mendengarkanbertanyabertukar', 'pikir', 'point', 'akhir', 'eksekusi', 'ini', 'yg', 'ingin', 'perintah', 'harus', 'itu']",mendengarkanbertanyabertukar pikir point akhir eksekusi yg perintah itu
@pentakoesfebrinmoelyaningt6035,"Dengarkan 2 orang pintar bicara rasanyabtdk pingin selesai obrolannya. Semoga Indonesia terbit orang2 seperti ini pintar , jujur, dan cinta indonesia dan rakyat. Aamiin. ❤",1 day ago,6,dengarkan 2 orang pintar bicara rasanyabtdk pingin selesai obrolannya semoga indonesia terbit orang2 seperti ini pintar jujur dan cinta indonesia dan rakyat aamiin,dengarkan orang pintar bicara rasanyabtdk pingin selesai obrolannya semoga indonesia terbit orang ini pintar jujur cinta indonesia rakyat aamiin,dengar orang pintar bicara rasanyabtdk pingin selesai obrol moga indonesia terbit orang ini pintar jujur cinta indonesia rakyat aamiin,"['dengar', 'orang', 'pintar', 'bicara', 'rasanyabtdk', 'pingin', 'selesai', 'obrol', 'moga', 'indonesia', 'terbit', 'orang', 'ini', 'pintar', 'jujur', 'cinta', 'indonesia', 'rakyat', 'aamiin']",dengar orang pintar bicara rasanyabtdk pingin selesai obrol moga indonesia terbit orang pintar jujur cinta indonesia rakyat aamiin
@SatiDuaTiga,Sorry kalau wapres harus sekelas pak Gibran❤,1 day ago,0,sorry kalau wapres harus sekelas pak gibran,sorry kalau wapres sekelas pak gibran,sorry kalau wapres kelas pak gibran,"['sorry', 'kalau', 'wapres', 'kelas', 'pak', 'gibran']",sorry kalau wapres kelas pak gibran
@sulasari7799,​ @SatiDuaTiga 😂,1 day ago,2,,,,[],
@sopyan_amkg,​ @SatiDuaTiga 😅😅😅,1 day ago,0,,,,[],
@AndiIrawan-j6i, @SatiDuaTiga harus ijazah palsu ya,1 day ago,1,harus ijazah palsu ya,ijazah palsu,ijazah palsu,"['ijazah', 'palsu']",ijazah palsu
@harumwidodo2326,Ya betul. Terutama yg jujur kalo dirinya tidak pintar,1 day ago,10,ya betul terutama yg jujur kalo dirinya tidak pintar,betul terutama yg jujur kalo dirinya pintar,betul utama yg jujur kalo diri pintar,"['betul', 'utama', 'yg', 'jujur', 'kalo', 'diri', 'pintar']",betul utama yg jujur kalo diri pintar
@mamato-d4l,Kata pak Purbaya kita kekurangan orang pintar,1 day ago,3,kata pak purbaya kita kekurangan orang pintar,kata pak purbaya kekurangan orang pintar,kata pak purbaya kurang orang pintar,"['kata', 'pak', 'purbaya', 'kurang', 'orang', 'pintar']",kata pak purbaya kurang orang pintar
@SatiDuaTiga,Walaupun kekurangan orang pintar tapi indonesia memiliki pak Gibran yg bisa menyongkong sementara waktu sambil menunggu bibit ungul indonesia berkembang❤,1 day ago,1,walaupun kekurangan orang pintar tapi indonesia memiliki pak gibran yg bisa menyongkong sementara waktu sambil menunggu bibit ungul indonesia berkembang,walaupun kekurangan orang pintar indonesia memiliki pak gibran yg menyongkong waktu menunggu bibit ungul indonesia berkembang,walaupun kurang orang pintar indonesia milik pak gibran yg menyongkong waktu tunggu bibit ungul indonesia kembang,"['walaupun', 'kurang', 'orang', 'pintar', 'indonesia', 'milik', 'pak', 'gibran', 'yg', 'menyongkong', 'waktu', 'tunggu', 'bibit', 'ungul', 'indonesia', 'kembang']",walaupun kurang orang pintar indonesia milik pak gibran yg menyongkong waktu tunggu bibit ungul indonesia kembang
@sulasari7799,dari data yg ada kita akui minim orang pintar. kebanyakan malingnya!!,1 day ago,0,dari data yg ada kita akui minim orang pintar kebanyakan malingnya,data yg kita akui minim orang pintar kebanyakan malingnya,data yg kita aku minim orang pintar banyak maling,"['data', 'yg', 'kita', 'aku', 'minim', 'orang', 'pintar', 'banyak', 'maling']",data yg aku minim orang pintar banyak maling
@FlamingRoses-x5z,kalo ekonomi sudah bagus orang orang ga bakal melakukan kecurang karena harusnya mereka sudah dapat gaji yang cukup,1 day ago,2,kalo ekonomi sudah bagus orang orang ga bakal melakukan kecurang karena harusnya mereka sudah dapat gaji yang cukup,kalo ekonomi bagus orang orang ga bakal melakukan kecurang harusnya sudah gaji cukup,kalo ekonomi bagus orang orang ga bakal laku curang harus sudah gaji cukup,"['kalo', 'ekonomi', 'bagus', 'orang', 'orang', 'ga', 'bakal', 'laku', 'curang', 'harus', 'sudah', 'gaji', 'cukup']",kalo ekonomi bagus orang orang ga bakal laku curang sudah gaji cukup
@miokaya4595,"Opini yang puitis wkwkw
Pak Gita dan Pak Purbaya aja jelas bilang kita kekurangan orang pinter, sangat2 kekurangan lulusan teknik.",1 day ago,1,opini yang puitis wkwkw pak gita dan pak purbaya aja jelas bilang kita kekurangan orang pinter sangat2 kekurangan lulusan teknik,opini puitis wkwkw pak gita pak purbaya aja jelas bilang kekurangan orang pinter sangat kekurangan lulusan teknik,opini puitis wkwkw pak gita pak purbaya aja jelas bilang kurang orang pinter sangat kurang lulus teknik,"['opini', 'puitis', 'wkwkw', 'pak', 'gita', 'pak', 'purbaya', 'aja', 'jelas', 'bilang', 'kurang', 'orang', 'pinter', 'sangat', 'kurang', 'lulus', 'teknik']",opini puitis wkwkw pak gita pak purbaya aja jelas bilang kurang orang pinter sangat kurang lulus teknik
@antoinne3694,Betul. Kekurangan orang jujur memang iya. Tapi kekurangan orang pintar ini yg gak banyak orang sebut 😂,23 hours ago,1,betul kekurangan orang jujur memang iya tapi kekurangan orang pintar ini yg gak banyak orang sebut,betul kekurangan orang jujur memang iya kekurangan orang pintar yg gak banyak orang sebut,betul kurang orang jujur memang iya kurang orang pintar yg gak banyak orang sebut,"['betul', 'kurang', 'orang', 'jujur', 'memang', 'iya', 'kurang', 'orang', 'pintar', 'yg', 'gak', 'banyak', 'orang', 'sebut']",betul kurang orang jujur memang iya kurang orang pintar yg gak banyak orang sebut
@lesanddailymoment7655,Saat ditagih investor buat nyiapin 100 enginer yg kompeten..pak Purbaya lgsg garuk2 kepala..,10 hours ago,0,saat ditagih investor buat nyiapin 100 enginer yg kompetenpak purbaya lgsg garuk2 kepala,ditagih investor buat nyiapin enginer yg kompetenpak purbaya lgsg garuk kepala,tagih investor buat nyiapin enginer yg kompetenpak purbaya lgsg garuk kepala,"['tagih', 'investor', 'buat', 'nyiapin', 'enginer', 'yg', 'kompetenpak', 'purbaya', 'lgsg', 'garuk', 'kepala']",tagih investor buat nyiapin enginer yg kompetenpak purbaya lgsg garuk kepala
@khoirunadhim8068,Dengerin nya sepotong nih 😅,1 day ago,2,dengerin nya sepotong nih,dengerin nya sepotong nih,dengerin nya potong nih,"['dengerin', 'nya', 'potong', 'nih']",dengerin nya potong nih
@channelreceh1105,berarti memang kurang sdm yg pintar dan berintegritas,2 days ago,8,berarti memang kurang sdm yg pintar dan berintegritas,berarti memang kurang sdm yg pintar berintegritas,arti memang kurang sdm yg pintar integritas,"['arti', 'memang', 'kurang', 'sdm', 'yg', 'pintar', 'integritas']",arti memang kurang sdm yg pintar integritas
@nikmaropik7874,Ada mardigu,2 days ago,0,ada mardigu,mardigu,mardigu,['mardigu'],mardigu
@charliebravo-p2c,"setuju saya, mereka bener profesional dan pinter ilmunya",2 days ago,4,setuju saya mereka bener profesional dan pinter ilmunya,setuju mereka bener profesional pinter ilmunya,tuju mereka bener profesional pinter ilmu,"['tuju', 'mereka', 'bener', 'profesional', 'pinter', 'ilmu']",tuju bener profesional pinter ilmu
@shascreative7643,When Purbaya cooked 🎉🎉🎉,2 days ago,1,when purbaya cooked,when purbaya cooked,when purbaya cooked,"['when', 'purbaya', 'cooked']",when purbaya cooked
@RizalKurniawan-k5j,​ @nikmaropik7874 beda level 😂,1 day ago,5,beda level,beda level,beda level,"['beda', 'level']",beda level
@SatiDuaTiga,​ @RizalKurniawan-k5j harus selevel Pak gibran❤,1 day ago,0,k5j harus selevel pak gibran,kj selevel pak gibran,kj level pak gibran,"['kj', 'level', 'pak', 'gibran']",kj level pak gibran
@antoinne3694,​ @RizalKurniawan-k5j Mardigu katanya 😂,23 hours ago,1,k5j mardigu katanya,kj mardigu katanya,kj mardigu kata,"['kj', 'mardigu', 'kata']",kj mardigu kata
@genzabekasiharapanjaya,Yes he is Ex- Trade Minister in SBY 2nd Administration,1 day ago,2,yes he is ex trade minister in sby 2nd administration,yes he is ex trade minister in sby nd administration,yes he is ex trade mister in sby nd administration,"['yes', 'he', 'is', 'ex', 'trade', 'mister', 'in', 'sby', 'nd', 'administration']",yes he is ex trade mister in sby nd administration
@ceritardp,"Terima kasih, idola baru pak Purbaya. Dari sini kita paham, pendidikan sepenting itu. Dan menanamkan rasa optimisme itu sebuah kewajiban.",1 day ago,9,terima kasih idola baru pak purbaya dari sini kita paham pendidikan sepenting itu dan menanamkan rasa optimisme itu sebuah kewajiban,terima kasih idola baru pak purbaya sini paham pendidikan sepenting dan menanamkan rasa optimisme sebuah kewajiban,terima kasih idola baru pak purbaya sini paham didik penting dan tanam rasa optimisme buah wajib,"['terima', 'kasih', 'idola', 'baru', 'pak', 'purbaya', 'sini', 'paham', 'didik', 'penting', 'dan', 'tanam', 'rasa', 'optimisme', 'buah', 'wajib']",terima kasih idola baru pak purbaya sini paham didik penting tanam rasa optimisme buah wajib
@krtamala,"100% daging. Peningkatan Ekonomi, Pendidikan, Investasi Asing. Semua mentri begini aman Indonesia.",2 days ago,33,100 daging peningkatan ekonomi pendidikan investasi asing semua mentri begini aman indonesia,daging peningkatan ekonomi pendidikan investasi asing semua mentri begini aman indonesia,daging tingkat ekonomi didik investasi asing semua tri begini aman indonesia,"['daging', 'tingkat', 'ekonomi', 'didik', 'investasi', 'asing', 'semua', 'tri', 'begini', 'aman', 'indonesia']",daging tingkat ekonomi didik investasi asing semua tri begini aman indonesia
@adityawardi8584,"Wah, ini mah sahabat lama lagi ngobrol santai. Banyak Insight nih...😊😊",2 days ago,22,wah ini mah sahabat lama lagi ngobrol santai banyak insight nih,wah mah sahabat lama ngobrol santai banyak insight nih,wah mah sahabat lama ngobrol santai banyak insight nih,"['wah', 'mah', 'sahabat', 'lama', 'ngobrol', 'santai', 'banyak', 'insight', 'nih']",wah mah sahabat lama ngobrol santai banyak insight nih
@allenpunuh8710,"Secara khusus, saya senang sekali dengan podcast pak Gita karena akhirnya kami bisa mengetahui kebijakan apa yang dilakukan oleh pemerintah pusat dalam menangani keadaan ekonomi saat ini...dan terbuka terang kenapa tahun 2024 akhir ekonomi Indonesia jatuh...",1 day ago,6,secara khusus saya senang sekali dengan podcast pak gita karena akhirnya kami bisa mengetahui kebijakan apa yang dilakukan oleh pemerintah pusat dalam menangani keadaan ekonomi saat inidan terbuka terang kenapa tahun 2024 akhir ekonomi indonesia jatuh,khusus senang sekali podcast pak gita akhirnya bisa mengetahui kebijakan apa dilakukan pemerintah pusat menangani keadaan ekonomi inidan terbuka terang tahun akhir ekonomi indonesia jatuh,khusus senang sekali podcast pak gita akhir bisa tahu bijak apa laku perintah pusat tangan ada ekonomi inidan buka terang tahun akhir ekonomi indonesia jatuh,"['khusus', 'senang', 'sekali', 'podcast', 'pak', 'gita', 'akhir', 'bisa', 'tahu', 'bijak', 'apa', 'laku', 'perintah', 'pusat', 'tangan', 'ada', 'ekonomi', 'inidan', 'buka', 'terang', 'tahun', 'akhir', 'ekonomi', 'indonesia', 'jatuh']",khusus senang sekali podcast pak gita akhir tahu bijak apa laku perintah pusat tangan ekonomi inidan buka terang tahun akhir ekonomi indonesia jatuh
