user,comment,time,votes,Case Folding,stopword removal,Lemmatization,tokens,stemming
@arismhvideo4891,"Seorang Mentri keuangan, diwawancara oleh seorang ekonom. Pemikirannya satu ide. Bahasannya kongkrit, anti normatif. anti mendongeng. INI TERLALU EKSLUSIF. Kapan kalian terakhir dapat tontonan semewah ini??",1 day ago,1.8K,seorang mentri keuangan diwawancara oleh seorang ekonom pemikirannya satu ide bahasannya kongkrit anti normatif anti mendongeng ini terlalu ekslusif kapan kalian terakhir dapat tontonan semewah ini,seorang mentri keuangan diwawancara seorang ekonom pemikirannya satu ide bahasannya kongkrit anti normatif anti mendongeng terlalu ekslusif kapan kalian terakhir tontonan semewah,orang tri uang wawancara orang ekonom pikir satu ide bahas kongkrit anti normatif anti dongeng terlalu ekslusif kapan kalian akhir tonton mewah,"['orang', 'tri', 'uang', 'wawancara', 'orang', 'ekonom', 'pikir', 'satu', 'ide', 'bahas', 'kongkrit', 'anti', 'normatif', 'anti', 'dongeng', 'terlalu', 'ekslusif', 'kapan', 'kalian', 'akhir', 'tonton', 'mewah']",orang tri uang wawancara orang ekonom pikir satu ide bahas kongkrit anti normatif anti dongeng terlalu ekslusif kapan kalian akhir tonton mewah
@project2226,Ngerasa nguping pembicaraan yang ga seharusnya rakyat biasa dengar; terimakasih Pak Gita,2 days ago,2.6K,ngerasa nguping pembicaraan yang ga seharusnya rakyat biasa dengar terimakasih pak gita,ngerasa nguping pembicaraan ga rakyat biasa dengar terimakasih pak gita,ngerasa nguping bicara ga rakyat biasa dengar terimakasih pak gita,"['ngerasa', 'nguping', 'bicara', 'ga', 'rakyat', 'biasa', 'dengar', 'terimakasih', 'pak', 'gita']",ngerasa nguping bicara ga rakyat biasa dengar terimakasih pak gita
@alexanderthegreat1466,"Ayahku cuman tukang rumput ibuku tukang sapu dan aku pelayan resto ,bisa dengerin obrolan gini ... Rasanya bangga",1 day ago,1.1K,ayahku cuman tukang rumput ibuku tukang sapu dan aku pelayan resto bisa dengerin obrolan gini rasanya bangga,ayahku cuman tukang rumput ibuku tukang sapu aku pelayan resto dengerin obrolan gini rasanya bangga,ayah cuman tukang rumput ibu tukang sapu aku layan resto dengerin obrol gin rasa bangga,"['ayah', 'cuman', 'tukang', 'rumput', 'ibu', 'tukang', 'sapu', 'aku', 'layan', 'resto', 'dengerin', 'obrol', 'gin', 'rasa', 'bangga']",ayah cuman tukang rumput ibu tukang sapu aku layan resto dengerin obrol gin rasa bangga
@rizky_wacaw,"Pak Purbaya serasa lebih serius ngbrol disini, karena teman ngobrolnya pak Gita😁, semenjak ada pak Purbaya, ekonomi terlihat seru ya..",1 day ago,278,pak purbaya serasa lebih serius ngbrol disini karena teman ngobrolnya pak gita semenjak ada pak purbaya ekonomi terlihat seru ya,pak purbaya serasa lebih serius ngbrol disini teman ngobrolnya pak gita semenjak pak purbaya ekonomi terlihat seru,pak purbaya serasa lebih serius ngbrol sini teman ngobrolnya pak gita semenjak pak purbaya ekonomi lihat seru,"['pak', 'purbaya', 'serasa', 'lebih', 'serius', 'ngbrol', 'sini', 'teman', 'ngobrolnya', 'pak', 'gita', 'semenjak', 'pak', 'purbaya', 'ekonomi', 'lihat', 'seru']",pak purbaya serasa lebih serius ngbrol sini teman ngobrolnya pak gita semenjak pak purbaya ekonomi lihat seru
@duniabahari1695,"Inii baruu sparing partner yg sepadan, penonton berasaa nonton seminar ekonomii yg isinyaa daging semua.",1 day ago,168,inii baruu sparing partner yg sepadan penonton berasaa nonton seminar ekonomii yg isinyaa daging semua,inii baruu sparing partner yg sepadan penonton berasaa nonton seminar ekonomii yg isinyaa daging semua,ini baruu sparing partner yg padan tonton berasaa nonton seminar ekonomi yg isinyaa daging semua,"['ini', 'baruu', 'sparing', 'partner', 'yg', 'padan', 'tonton', 'berasaa', 'nonton', 'seminar', 'ekonomi', 'yg', 'isinyaa', 'daging', 'semua']",baruu sparing partner yg padan tonton berasaa nonton seminar ekonomi yg isinyaa daging semua
@sssb4442,ini bukan podcast... tapi obrolan berkelas utk kepentingan NKRI..,1 day ago (edited),723,ini bukan podcast tapi obrolan berkelas utk kepentingan nkri,bukan podcast obrolan berkelas utk kepentingan nkri,bukan podcast obrol kelas utk penting nkri,"['bukan', 'podcast', 'obrol', 'kelas', 'utk', 'penting', 'nkri']",bukan podcast obrol kelas utk penting nkri
@nofikurniawan,LUAR BIASA!!  Usia saya 38 Tahun. Rasa haus belajar saya bangkit kembali. ingin ber-sekolah lagi.,1 day ago (edited),624,luar biasa usia saya 38 tahun rasa haus belajar saya bangkit kembali ingin bersekolah lagi,luar biasa usia tahun rasa haus belajar bangkit ingin bersekolah,luar biasa usia tahun rasa haus ajar bangkit ingin sekolah,"['luar', 'biasa', 'usia', 'tahun', 'rasa', 'haus', 'ajar', 'bangkit', 'ingin', 'sekolah']",luar biasa usia tahun rasa haus ajar bangkit sekolah
@muhammadluthfi9901,Setelah banyak berseliweran “sekolah itu scam”. Dari pembicaraan ini kita harusnya sadar seberapa pentingnya sekolah setinggi tingginya,1 day ago,134,setelah banyak berseliweran sekolah itu scam dari pembicaraan ini kita harusnya sadar seberapa pentingnya sekolah setinggi tingginya,banyak berseliweran sekolah scam pembicaraan kita harusnya sadar seberapa pentingnya sekolah setinggi tingginya,banyak seliwer sekolah scam bicara kita harus sadar berapa penting sekolah setinggi tinggi,"['banyak', 'seliwer', 'sekolah', 'scam', 'bicara', 'kita', 'harus', 'sadar', 'berapa', 'penting', 'sekolah', 'setinggi', 'tinggi']",banyak seliwer sekolah scam bicara harus sadar berapa penting sekolah setinggi tinggi
@robysetiawan3944,"Gila sih, ini obrolan daging. Walopun saya tukang paket😅",1 day ago,99,gila sih ini obrolan daging walopun saya tukang paket,gila sih obrolan daging walopun tukang paket,gila sih obrol daging walopun tukang paket,"['gila', 'sih', 'obrol', 'daging', 'walopun', 'tukang', 'paket']",gila sih obrol daging walopun tukang paket
@Nando-dq5hi,"Obrolan Pak Gita dan Pak Purbaya ini akan menjadi arsip masa depan, dengan judul ""Segelintir pemikir indonesia yang berdiskusi bagamana indonesia bisa maju"".",1 day ago,50,obrolan pak gita dan pak purbaya ini akan menjadi arsip masa depan dengan judul segelintir pemikir indonesia yang berdiskusi bagamana indonesia bisa maju,obrolan pak gita pak purbaya akan menjadi arsip masa depan judul segelintir pemikir indonesia berdiskusi bagamana indonesia maju,obrol pak gita pak purbaya akan jadi arsip masa depan judul gelintir pikir indonesia diskus bagamana indonesia maju,"['obrol', 'pak', 'gita', 'pak', 'purbaya', 'akan', 'jadi', 'arsip', 'masa', 'depan', 'judul', 'gelintir', 'pikir', 'indonesia', 'diskus', 'bagamana', 'indonesia', 'maju']",obrol pak gita pak purbaya jadi arsip masa depan judul gelintir pikir indonesia diskus bagamana indonesia maju
@mazhentralalatrilili3176,"SEHARUSNYA BEGINI STANDAR MENTERI.
Teruji pendidikan ny.
G ad kepalsuan 😁",2 days ago,328,seharusnya begini standar menteri teruji pendidikan ny g ad kepalsuan,begini standar menteri teruji pendidikan ny g ad kepalsuan,begini standar menteri uji didik ny g ad palsu,"['begini', 'standar', 'menteri', 'uji', 'didik', 'ny', 'g', 'ad', 'palsu']",begini standar menteri uji didik ny g ad palsu
@nanangefendi8777,ini pentingnya pendiidkan guys.. jangan malas belajar yaa . pendiidkan tidak mengenal umur,1 day ago,176,ini pentingnya pendiidkan guys jangan malas belajar yaa pendiidkan tidak mengenal umur,pentingnya pendiidkan guys jangan malas belajar yaa pendiidkan mengenal umur,penting pendiidkan guys jangan malas ajar yaa pendiidkan kenal umur,"['penting', 'pendiidkan', 'guys', 'jangan', 'malas', 'ajar', 'yaa', 'pendiidkan', 'kenal', 'umur']",penting pendiidkan guys jangan malas ajar yaa pendiidkan kenal umur
@Breck5758,"""Mereka banyak melirik, kita sendiri yang mempersulit"" dhuarr...!!",1 day ago,239,mereka banyak melirik kita sendiri yang mempersulit dhuarr,banyak melirik sendiri mempersulit dhuarr,banyak lirik sendiri sulit dhuarr,"['banyak', 'lirik', 'sendiri', 'sulit', 'dhuarr']",banyak lirik sendiri sulit dhuarr
@liayulia1260,"Saya cuma IRT tp mendengerkan podcast ini, jd membuka wawasan ingin sekali anak² ku kelak seperti beliau, semoga anak² kita kelak bisa seperti beliau² ini ...Aamiin",1 day ago,112,saya cuma irt tp mendengerkan podcast ini jd membuka wawasan ingin sekali anak ku kelak seperti beliau semoga anak kita kelak bisa seperti beliau ini aamiin,cuma irt tp mendengerkan podcast jd membuka wawasan sekali anak ku kelak beliau semoga anak kelak seperti beliau aamiin,cuma irt tp mendengerkan podcast jd buka wawas sekali anak ku kelak beliau moga anak kelak seperti beliau aamiin,"['cuma', 'irt', 'tp', 'mendengerkan', 'podcast', 'jd', 'buka', 'wawas', 'sekali', 'anak', 'ku', 'kelak', 'beliau', 'moga', 'anak', 'kelak', 'seperti', 'beliau', 'aamiin']",cuma irt tp mendengerkan podcast jd buka wawas sekali anak ku kelak beliau moga anak kelak beliau aamiin
@ridhowicaksono7636,"Saya suka salah satu quote dalam podcast ini.
“Kita butuh lebih banyak orang pintar”",1 day ago,105,saya suka salah satu quote dalam podcast ini kita butuh lebih banyak orang pintar,suka salah satu quote podcast kita butuh lebih banyak orang pintar,suka salah satu quote podcast kita butuh lebih banyak orang pintar,"['suka', 'salah', 'satu', 'quote', 'podcast', 'kita', 'butuh', 'lebih', 'banyak', 'orang', 'pintar']",suka salah satu quote podcast butuh lebih banyak orang pintar
@rinasafaringga8069,Gara-gara sering nonton pak Purbaya... sedikit-sedikit agak faham tentang ekonomi 😊,2 days ago,586,garagara sering nonton pak purbaya sedikitsedikit agak faham tentang ekonomi,garagara sering nonton pak purbaya sedikitsedikit faham ekonomi,garagara sering nonton pak purbaya sedikitsedikit faham ekonomi,"['garagara', 'sering', 'nonton', 'pak', 'purbaya', 'sedikitsedikit', 'faham', 'ekonomi']",garagara sering nonton pak purbaya sedikitsedikit faham ekonomi
@xiladelxia,"jujur utk saya pribadi, sehabis menonton video ini, sepertinya masih ada harapan utk bangsa ini.",1 day ago,186,jujur utk saya pribadi sehabis menonton video ini sepertinya masih ada harapan utk bangsa ini,jujur utk pribadi sehabis menonton video sepertinya ada harapan utk bangsa,jujur utk pribadi habis tonton video seperti ada harap utk bangsa,"['jujur', 'utk', 'pribadi', 'habis', 'tonton', 'video', 'seperti', 'ada', 'harap', 'utk', 'bangsa']",jujur utk pribadi habis tonton video ada harap utk bangsa
@__die2799,"Ini contoh menteri yang bukan titipan, bisa kerja nyata hasilnya",2 days ago,362,ini contoh menteri yang bukan titipan bisa kerja nyata hasilnya,contoh menteri bukan titipan kerja nyata hasilnya,contoh menteri bukan titip kerja nyata hasil,"['contoh', 'menteri', 'bukan', 'titip', 'kerja', 'nyata', 'hasil']",contoh menteri bukan titip kerja nyata hasil
@adhisimakresna1663,saat Bingung Kenapa Sulit Dapat kerja ... dengar podcast ini ... maka kita bisa ukur level kita dimana 🙏,1 day ago,37,saat bingung kenapa sulit dapat kerja dengar podcast ini maka kita bisa ukur level kita dimana,bingung sulit kerja dengar podcast maka bisa ukur level dimana,bingung sulit kerja dengar podcast maka bisa ukur level mana,"['bingung', 'sulit', 'kerja', 'dengar', 'podcast', 'maka', 'bisa', 'ukur', 'level', 'mana']",bingung sulit kerja dengar podcast bisa ukur level mana
@bangyuds8743,"yg nanya ahli yg jawab ahli, yg nonton bengong",1 day ago,41,yg nanya ahli yg jawab ahli yg nonton bengong,yg nanya ahli yg jawab ahli yg nonton bengong,yg nanya ahli yg jawab ahli yg nonton bengong,"['yg', 'nanya', 'ahli', 'yg', 'jawab', 'ahli', 'yg', 'nonton', 'bengong']",yg nanya ahli yg jawab ahli yg nonton bengong
@fajargurbada5034,Memang beda bila yang wawancara dan diwawancara ahli semua. Kita dapat ilmu yang real karena disana ada data dan teori,1 day ago,41,memang beda bila yang wawancara dan diwawancara ahli semua kita dapat ilmu yang real karena disana ada data dan teori,memang beda bila wawancara diwawancara ahli semua dapat ilmu real disana data teori,memang beda bila wawancara wawancara ahli semua dapat ilmu real sana data teori,"['memang', 'beda', 'bila', 'wawancara', 'wawancara', 'ahli', 'semua', 'dapat', 'ilmu', 'real', 'sana', 'data', 'teori']",memang beda bila wawancara wawancara ahli semua ilmu real sana data teori
@obsobsobsobs,menjadi inklusif,1 day ago,5,menjadi inklusif,menjadi inklusif,jadi inklusif,"['jadi', 'inklusif']",jadi inklusif
@adros1420,"setuju sangat dgn 'naratif' ini, wpon sy rakyat MY.. TK",1 day ago (edited),3,setuju sangat dgn naratif ini wpon sy rakyat my tk,setuju sangat dgn naratif wpon sy rakyat my tk,tuju sangat dgn naratif wpon sy rakyat my tk,"['tuju', 'sangat', 'dgn', 'naratif', 'wpon', 'sy', 'rakyat', 'my', 'tk']",tuju sangat dgn naratif wpon sy rakyat my tk
@eviedwiputri3534,"setuju, brasa dpt kuliah ekonomi tingkat doktoral, gratis. luar biasa😍😍👍🏿👍🏿 mendengarnya lgsg brasa mIndonesia akan cerah",1 day ago,56,setuju brasa dpt kuliah ekonomi tingkat doktoral gratis luar biasa mendengarnya lgsg brasa mindonesia akan cerah,setuju brasa dpt kuliah ekonomi tingkat doktoral gratis luar biasa mendengarnya lgsg brasa mindonesia cerah,tuju brasa dpt kuliah ekonomi tingkat doktoral gratis luar biasa dengar lgsg brasa mindonesia cerah,"['tuju', 'brasa', 'dpt', 'kuliah', 'ekonomi', 'tingkat', 'doktoral', 'gratis', 'luar', 'biasa', 'dengar', 'lgsg', 'brasa', 'mindonesia', 'cerah']",tuju brasa dpt kuliah ekonomi tingkat doktoral gratis luar biasa dengar lgsg brasa mindonesia cerah
@ndasoe2110,Berasa kuliah dengan dosen yg   berkelas 👍🔥,1 day ago,20,berasa kuliah dengan dosen yg berkelas,berasa kuliah dosen yg berkelas,asa kuliah dosen yg kelas,"['asa', 'kuliah', 'dosen', 'yg', 'kelas']",asa kuliah dosen yg kelas
@jatmikaaditya9672,salim,1 day ago,3,salim,salim,salim,['salim'],salim
@ridwanlubis9161,Ajak Gibran sih...,1 day ago,5,ajak gibran sih,ajak gibran sih,ajak gibran sih,"['ajak', 'gibran', 'sih']",ajak gibran sih
@auraislami44,Saya nangis karna baru ini ada podcast sangat berlian seperti ini.,1 day ago,26,saya nangis karna baru ini ada podcast sangat berlian seperti ini,nangis karna baru ada podcast sangat berlian ini,nang karna baru ada podcast sangat berlian ini,"['nang', 'karna', 'baru', 'ada', 'podcast', 'sangat', 'berlian', 'ini']",nang karna baru podcast sangat berlian
@rizzal_1013,ibarat makan Wagyu a5 😁,1 day ago,3,ibarat makan wagyu a5,ibarat makan wagyu a,ibarat makan wagyu a,"['ibarat', 'makan', 'wagyu', 'a']",ibarat makan wagyu a
@topont2010, @ridwanlubis9161  ngakak guling2...,1 day ago,2,ngakak guling2,ngakak guling,ngakak guling,"['ngakak', 'guling']",ngakak guling
@sheirasn18,"""anti mendongeng"" setuju bgt sih, to do point ga dongeng muter2 sana-sini",1 day ago,1,anti mendongeng setuju bgt sih to do point ga dongeng muter2 sanasini,anti mendongeng setuju bgt sih to do point ga dongeng muter sanasini,anti dongeng tuju bgt sih to do point ga dongeng muter sanasini,"['anti', 'dongeng', 'tuju', 'bgt', 'sih', 'to', 'do', 'point', 'ga', 'dongeng', 'muter', 'sanasini']",anti dongeng tuju bgt sih to do point ga dongeng muter sanasini
@VindhiVisnarius-ve3my,"Pointnya jaman jokowi private sektor gak dikasih ruang.. 
Government nya aktif bgt.. 
Artiin diri dah kenapa jaman jokowi rakyat banyak yg susah hidupnya",1 day ago,9,pointnya jaman jokowi private sektor gak dikasih ruang government nya aktif bgt artiin diri dah kenapa jaman jokowi rakyat banyak yg susah hidupnya,pointnya jaman jokowi private sektor gak dikasih ruang government nya aktif bgt artiin diri dah jaman jokowi rakyat banyak yg susah hidupnya,point jaman jokowi private sektor gak kasih ruang government nya aktif bgt artiin diri dah jaman jokowi rakyat banyak yg susah hidup,"['point', 'jaman', 'jokowi', 'private', 'sektor', 'gak', 'kasih', 'ruang', 'government', 'nya', 'aktif', 'bgt', 'artiin', 'diri', 'dah', 'jaman', 'jokowi', 'rakyat', 'banyak', 'yg', 'susah', 'hidup']",point jaman jokowi private sektor gak kasih ruang government nya aktif bgt artiin diri dah jaman jokowi rakyat banyak yg susah hidup
@ayudone,Diskusi Menteri dan Mantan Menteri,1 day ago,1,diskusi menteri dan mantan menteri,diskusi menteri mantan menteri,diskusi menteri mantan menteri,"['diskusi', 'menteri', 'mantan', 'menteri']",diskusi menteri mantan menteri
@AdanyaAja-p9h5h,Istimewa dan tegas,1 day ago,0,istimewa dan tegas,istimewa tegas,istimewa tegas,"['istimewa', 'tegas']",istimewa tegas
@ragetotopati216,Tahun 90an,1 day ago,0,tahun 90an,tahun an,tahun an,"['tahun', 'an']",tahun an
@zamrizam6035,jaman jokw ekonomi pdi aja yg naik.,1 day ago,0,jaman jokw ekonomi pdi aja yg naik,jaman jokw ekonomi pdi aja yg naik,jaman jokw ekonomi pdi aja yg naik,"['jaman', 'jokw', 'ekonomi', 'pdi', 'aja', 'yg', 'naik']",jaman jokw ekonomi pdi aja yg naik
@MariaWiyati,"Gw ngk ngerti ilmu ekonomi, ngk paham juga ttg keuangan tapi ngk bosen- bosen denger cara Bapak ini memahamkan masyarakat luas ttg perekonomian negri ini",1 day ago,1,gw ngk ngerti ilmu ekonomi ngk paham juga ttg keuangan tapi ngk bosen bosen denger cara bapak ini memahamkan masyarakat luas ttg perekonomian negri ini,gw ngk ngerti ilmu ekonomi ngk paham ttg keuangan ngk bosen bosen denger cara bapak memahamkan masyarakat luas ttg perekonomian negri,gw ngk ngerti ilmu ekonomi ngk paham ttg uang ngk bosen bosen denger cara bapak paham masyarakat luas ttg ekonomi negri,"['gw', 'ngk', 'ngerti', 'ilmu', 'ekonomi', 'ngk', 'paham', 'ttg', 'uang', 'ngk', 'bosen', 'bosen', 'denger', 'cara', 'bapak', 'paham', 'masyarakat', 'luas', 'ttg', 'ekonomi', 'negri']",gw ngk ngerti ilmu ekonomi ngk paham ttg uang ngk bosen bosen denger cara bapak paham masyarakat luas ttg ekonomi negri
@hartatisetyowati3582,​ @VindhiVisnarius-ve3my  itu krn jaman jokowi banyak bangun infrastruktur dan yg ngerjain kontraktor BUMN bukan swasta  gtu lhoo pak salah satu nyaa,23 hours ago,5,ve3my itu krn jaman jokowi banyak bangun infrastruktur dan yg ngerjain kontraktor bumn bukan swasta gtu lhoo pak salah satu nyaa,vemy krn jaman jokowi banyak bangun infrastruktur yg ngerjain kontraktor bumn bukan swasta gtu lhoo pak salah satu nyaa,vemy krn jaman jokowi banyak bangun infrastruktur yg ngerjain kontraktor bumn bukan swasta gtu lhoo pak salah satu nyaa,"['vemy', 'krn', 'jaman', 'jokowi', 'banyak', 'bangun', 'infrastruktur', 'yg', 'ngerjain', 'kontraktor', 'bumn', 'bukan', 'swasta', 'gtu', 'lhoo', 'pak', 'salah', 'satu', 'nyaa']",vemy krn jaman jokowi banyak bangun infrastruktur yg ngerjain kontraktor bumn bukan swasta gtu lhoo pak salah satu nyaa
@azamal-anshori6028,Sepakat bgt gw,23 hours ago,0,sepakat bgt gw,sepakat bgt gw,sepakat bgt gw,"['sepakat', 'bgt', 'gw']",sepakat bgt gw
@budisurachmat517,"Sepakat kalau ini adl salah satu episode endgame terbaik dan mencerdaskan.
Kalau saja mindset “kemajuan” ala Menkeu ini dimiliki juga oleh Mentri2 yg lain, negara ini akan lebih cepat sejahtera masy nya",22 hours ago,0,sepakat kalau ini adl salah satu episode endgame terbaik dan mencerdaskan kalau saja mindset kemajuan ala menkeu ini dimiliki juga oleh mentri2 yg lain negara ini akan lebih cepat sejahtera masy nya,sepakat kalau adl salah satu episode endgame terbaik mencerdaskan kalau mindset kemajuan ala menkeu dimiliki oleh mentri yg negara akan lebih cepat sejahtera masy nya,sepakat kalau adl salah satu episode endgame baik cerdas kalau mindset maju ala menkeu milik oleh tri yg negara akan lebih cepat sejahtera masy nya,"['sepakat', 'kalau', 'adl', 'salah', 'satu', 'episode', 'endgame', 'baik', 'cerdas', 'kalau', 'mindset', 'maju', 'ala', 'menkeu', 'milik', 'oleh', 'tri', 'yg', 'negara', 'akan', 'lebih', 'cepat', 'sejahtera', 'masy', 'nya']",sepakat kalau adl salah satu episode endgame baik cerdas kalau mindset maju ala menkeu milik tri yg negara lebih cepat sejahtera masy nya
@realregalia7759,Waktu harrison ford ngewawancarain zulkifli,22 hours ago,0,waktu harrison ford ngewawancarain zulkifli,waktu harrison ford ngewawancarain zulkifli,waktu harrison ford ngewawancarain zulkifli,"['waktu', 'harrison', 'ford', 'ngewawancarain', 'zulkifli']",waktu harrison ford ngewawancarain zulkifli
@herlambangherlambang1887,Setuju...👍,21 hours ago,0,setuju,setuju,tuju,['tuju'],tuju
@NanikSuciowati,​ @hartatisetyowati3582 jmn jkw hya utamakan para konglomerat smntra usaha kcil dicekik,21 hours ago,2,jmn jkw hya utamakan para konglomerat smntra usaha kcil dicekik,jmn jkw hya utamakan konglomerat smntra usaha kcil dicekik,jmn jkw hya utama konglomerat smntra usaha kcil cekik,"['jmn', 'jkw', 'hya', 'utama', 'konglomerat', 'smntra', 'usaha', 'kcil', 'cekik']",jmn jkw hya utama konglomerat smntra usaha kcil cekik
@r_bp1240,menkeu diwawancarai mantan menkeu,19 hours ago,0,menkeu diwawancarai mantan menkeu,menkeu diwawancarai mantan menkeu,menkeu wawancara mantan menkeu,"['menkeu', 'wawancara', 'mantan', 'menkeu']",menkeu wawancara mantan menkeu
@seputaranda5203,"iya menkeu yg dulu ga ada obrolan,kita ga tahu kapasitas kepalanya.ini saya orang awam aja bisa nangkep semua obrolan dua ekonom hebat ini.",15 hours ago,0,iya menkeu yg dulu ga ada obrolankita ga tahu kapasitas kepalanyaini saya orang awam aja bisa nangkep semua obrolan dua ekonom hebat ini,iya menkeu yg dulu ga obrolankita ga tahu kapasitas kepalanyaini orang awam aja nangkep semua obrolan ekonom hebat,iya menkeu yg dulu ga obrolankita ga tahu kapasitas kepalanyaini orang awam aja nangkep semua obrol ekonom hebat,"['iya', 'menkeu', 'yg', 'dulu', 'ga', 'obrolankita', 'ga', 'tahu', 'kapasitas', 'kepalanyaini', 'orang', 'awam', 'aja', 'nangkep', 'semua', 'obrol', 'ekonom', 'hebat']",iya menkeu yg dulu ga obrolankita ga tahu kapasitas kepalanyaini orang awam aja nangkep semua obrol ekonom hebat
@teddydwidarma7488,Yg wawancara juga mantan menteri keuangan,14 hours ago,0,yg wawancara juga mantan menteri keuangan,yg wawancara mantan menteri keuangan,yg wawancara mantan menteri uang,"['yg', 'wawancara', 'mantan', 'menteri', 'uang']",yg wawancara mantan menteri uang
@eastbataviastronger3787,Harusnya gibran yang disna,14 hours ago,0,harusnya gibran yang disna,harusnya gibran disna,harus gibran disna,"['harus', 'gibran', 'disna']",gibran disna
@alhusna3717,Hade kieuu,12 hours ago,0,hade kieuu,hade kieuu,hade kieuu,"['hade', 'kieuu']",hade kieuu
@theexplorerJP,Agree,5 hours ago,0,agree,agree,agree,['agree'],agree
@oldman63_g9c,"Gratis lagi, ilmu ekonomi itu mahal, makasih pak Gita",5 hours ago,0,gratis lagi ilmu ekonomi itu mahal makasih pak gita,gratis ilmu ekonomi mahal makasih pak gita,gratis ilmu ekonomi mahal makasih pak gita,"['gratis', 'ilmu', 'ekonomi', 'mahal', 'makasih', 'pak', 'gita']",gratis ilmu ekonomi mahal makasih pak gita
@muhamadrifai3072,2 tokoh hebat ekonomi saling bertukar pikiran atau diskusi. Benar2 tontonan yg sangat mewah🎉,3 hours ago,0,2 tokoh hebat ekonomi saling bertukar pikiran atau diskusi benar2 tontonan yg sangat mewah,tokoh hebat ekonomi saling bertukar pikiran diskusi benar tontonan yg sangat mewah,tokoh hebat ekonomi saling tukar pikir diskusi benar tonton yg sangat mewah,"['tokoh', 'hebat', 'ekonomi', 'saling', 'tukar', 'pikir', 'diskusi', 'benar', 'tonton', 'yg', 'sangat', 'mewah']",tokoh hebat ekonomi saling tukar pikir diskusi benar tonton yg sangat mewah
@adrimega6843,Gak kayak yang wawancarai dedi korbuser/deni sumargo ya,3 hours ago,0,gak kayak yang wawancarai dedi korbuserdeni sumargo ya,gak kayak wawancarai dedi korbuserdeni sumargo,gak kayak wawancara dedi korbuserdeni sumargo,"['gak', 'kayak', 'wawancara', 'dedi', 'korbuserdeni', 'sumargo']",gak kayak wawancara dedi korbuserdeni sumargo
@rahmatcope,huaaa komen ini sangat mewakil 🥺,1 hour ago,0,huaaa komen ini sangat mewakil,huaaa komen sangat mewakil,huaaa komen sangat wakil,"['huaaa', 'komen', 'sangat', 'wakil']",huaaa komen sangat wakil
@muhammadyasin3522,​ @r_bp1240 mantan mendag Pak,44 minutes ago,0,mantan mendag pak,mantan mendag pak,mantan mendag pak,"['mantan', 'mendag', 'pak']",mantan mendag pak
@muhammadyasin3522,​ @eastbataviastronger3787 mana mengerti soal begini Pak si Gibran,43 minutes ago,0,mana mengerti soal begini pak si gibran,mana mengerti soal begini pak si gibran,mana erti soal begini pak si gibran,"['mana', 'erti', 'soal', 'begini', 'pak', 'si', 'gibran']",mana erti soal begini pak si gibran
@PURBAYASADEWAYUDHI,like this quote☝,2 days ago,31,like this quote,like this quote,like this quote,"['like', 'this', 'quote']",like this quote
@PalupiIrwantika,lebay 😂,2 days ago,7,lebay,lebay,lebay,['lebay'],lebay
@briggsy667,Cielah kyk apa aja 😂 ga lah bro rakyat justru diperbanyak yang gini gini,2 days ago,10,cielah kyk apa aja ga lah bro rakyat justru diperbanyak yang gini gini,cielah kyk apa aja ga lah bro rakyat justru diperbanyak gini gini,cielah kyk apa aja ga lah bro rakyat justru banyak gin gin,"['cielah', 'kyk', 'apa', 'aja', 'ga', 'lah', 'bro', 'rakyat', 'justru', 'banyak', 'gin', 'gin']",cielah kyk apa aja ga lah bro rakyat justru banyak gin gin
@project2226,"​ @PalupiIrwantika memang harus lebay Pak: buat kami, ga banyak yang bisa ngomongin kelit-kelindan kebijakan ekonomi seciamik ini.",1 day ago,34,memang harus lebay pak buat kami ga banyak yang bisa ngomongin kelitkelindan kebijakan ekonomi seciamik ini,memang lebay pak buat ga banyak bisa ngomongin kelitkelindan kebijakan ekonomi seciamik,memang lebay pak buat ga banyak bisa ngomongin kelitkelindan bijak ekonomi seciamik,"['memang', 'lebay', 'pak', 'buat', 'ga', 'banyak', 'bisa', 'ngomongin', 'kelitkelindan', 'bijak', 'ekonomi', 'seciamik']",memang lebay pak buat ga banyak ngomongin kelitkelindan bijak ekonomi seciamik
@adityaditya3444,Iyaa lagii 😂,1 day ago,12,iyaa lagii,iyaa lagii,iyaa lagi,"['iyaa', 'lagi']",iyaa
@arissismaya4992,​ @PalupiIrwantika 😂,1 day ago,0,,,,[],
@hasynurraflihasyim5365,"​ @PalupiIrwantika kamu komen ""lebay"".

Siapa dan apa yang ""lebay"", tolong jelaskan dong, kalo komen yang jelas, agar bisa dipahami.",1 day ago,10,kamu komen lebay siapa dan apa yang lebay tolong jelaskan dong kalo komen yang jelas agar bisa dipahami,kamu komen lebay siapa apa lebay jelaskan dong kalo komen jelas bisa dipahami,kamu komen lebay siapa apa lebay jelas dong kalo komen jelas bisa paham,"['kamu', 'komen', 'lebay', 'siapa', 'apa', 'lebay', 'jelas', 'dong', 'kalo', 'komen', 'jelas', 'bisa', 'paham']",kamu komen lebay siapa apa lebay jelas dong kalo komen jelas paham
@dilanmustofa2583,kenapa disebut lebay? bisa jawab?,1 day ago,1,kenapa disebut lebay bisa jawab,disebut lebay jawab,sebut lebay jawab,"['sebut', 'lebay', 'jawab']",sebut lebay jawab
